,page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries,200,B0B1L638D3,"HP Pavilion Laptop (2022 Model), 17.3"" FHD IPS Display, Intel Core i3-1115G4 Processor, 16GB RAM, 256GB PCIe SSD, 1TB HDD, Anti-Glare Screen, Long Battery Life, Webcam, HDMI, Bluetooth, Wi-Fi, Win 11",$589.00,"May 17, 2022",17.3 Inches,Unnamed: 6,1920 x 1080 Pixels,4.1 GHz core_i3,16 GB DDR4,2666 MHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,"Bluetooth, 802.11a/b/g/n/ac",Unnamed: 16,Unnamed: 17,HP,Pavilion,Pavilion.1,PC,Windows 11,6.89 pounds,Unnamed: 24,Unnamed: 25,Natural Silver,Intel.1,2,DDR4 SDRAM,256 GB,PCIE x 4,Unnamed: 32,Unnamed: 33,Unnamed: 34
17,200.0,B0B5FFVB55,"HP Pavilion 17.3-inch IPS FHD Laptop (2022 Model), Intel Core i5-1155G7 (Beats i7-1165G7), Intel Iris Xe Graphics, 20GB RAM, 1TB PCIe SSD, Backlit Keyboard, Long Battery Life, Webcam, Win11",$759.00,"June 29, 2022",,,,,,,,,,,,,,,,Pavilion,,,4.62 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,200.0,B09NP8G5TJ,"2022 HP 15.6in FHD Slim and Light Laptop, Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Iris Xe Graphics, HDMI, Webcam, WiFi, Windows 11, Natural Silver, W/ 2-Week IFT Support dy20xx 15-15.99 inches",$499.00,"December 15, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i5,8 GB LPDDR4,2666 MHz,256 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11a/g/n/ac,3.0,"9.0, 7.0 Hours",HP,dy20xx-i5,dy20xx,PC,Windows 11 Home,3.72 pounds,13.8 x 10 x 0.7 inches,,,Intel,4.0,DDR4 SDRAM,256 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,200.0,B09VPYWD2H,"Lenovo ThinkPad E15 Gen 2 Business Laptop, 15.6"" Full HD Display, Intel Core i5-1135G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Windows 11 Pro, Black",$810.00,"March 16, 2022",15.6 Inches,,1920 x 1080 Pixels,2.4 GHz apple_ci5,16 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Lenovo,Lenovo Thinkpad,Thinkpad,PC,Windows 11 Pro,3.7 pounds,20 x 4 x 14 inches,,,Intel,4.0,DDR4 SDRAM,512 GB,PCIE x 4,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,200.0,B09R6KKCYJ,"Lenovo Flex 5 2-in-1 Laptop, 15.6"" 4K UHD (3840x2160) IPS 500nits Touch Display, Intel i7-1165G7, NVIDIA GeForce MX450, Type-C, Backlit KB, Fingerprint, Wi-Fi 6, Win 11 Pro (16GB RAM | 1TB PCIe SSD)","$1,158.78","January 18, 2022",15.6 Inches,3840 x 2160 pixels,3840x2160 Pixels,4.7 GHz core_i7,16 GB DDR4,,1 TB SSD,NVIDIA GeForce MX450,NVIDIA,Dedicated,802.11ax,,,Lenovo,Lenovo Flex 5,Lenovo Flex 5,PC,Windows 11 Pro,3.79 pounds,9.36 x 14.07 x 0.82 inches,,Graphite Grey,Intel,4.0,DDR4 SDRAM,,Solid State,,,3 Lithium Ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,200.0,B0BC2F38C6,"Lenovo ThinkPad P15s Gen 2 Laptop, 15.6” FHD, 11th Gen Intel Core i7-1165G7, 16GB RAM, 512GB PCIe SSD, Win 10 Pro, FP Backlit, 3 YR",Unavailable,"August 26, 2022",15.6 Inches,,1920 x 1080 Pixels,4.7 GHz core_i7,16 GB DDR4,,512 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,3.0,,Lenovo,P15s Gen 2,,PC,Windows 10 Pro,6.09 pounds,14.4 x 0.75 x 9.76 inches,,Black,Intel,4.0,,,Solid State,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,200.0,B09BRCLMLW,"Lenovo IdeaPad Laptop, 15.6"" FHD Display, AMD Ryzen 7 4700U 8-Core Processor (Beats i7-11375H), 20GB RAM, 512GB PCIe SSD, AMD Radeon Graphics, Long Battery Life, Webcam, WiFi, HDMI, Bluetooth, Win 10",$699.00,"August 3, 2021",15.6 Inches,,1920 x 1080 Pixels,4.1 GHz ryzen_7_4700u,20 GB DDR4,4.1 GHz,512 GB SSD,AMD Radeon Graphics,AMD,Integrated,Bluetooth,,,Lenovo,IdeaPad,IdeaPad,PC,Windows 10,3.75 pounds,14.26 x 9.98 x 0.78 inches,,Abyss Blue,AMD,8.0,DDR4 SDRAM,512 GB,PCIE x 4,,"Corded Electric, Battery Powered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,200.0,B095Z5LT85,"Dell Latitude 5320 Laptop - 13.3"" FHD Touch AG HD+IR Camera, 300 nits Display - 3.0 GHz Intel Core i7 4-Core 1185G7 (11th Gen) - 512GB SSD - 32GB RAM - Windows 10 pro",From $999.00,"May 27, 2021",13.3 Inches,,1920 x 1080 Pixels,3 GHz core_i7_family,16 GB LPDDR4,3200 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Dell,Latitude 5320,5320,PC,Windows 10 Pro,4.55 pounds,,,,Intel,4.0,DDR4 SDRAM,512 GB,ATA,,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,200.0,B09J1NV6BD,"HP 17 Laptop PC, 11th Gen Intel Core i5-1155G7, 8 GB RAM, 512 GB SSD Storage, 17.3-inch Full HD IPS Display, Windows 11 Home, Anti-Glare Screen, Long Battery Life, Webcam & Mics (17-cn1020nr, 2021)",$625.00,"October 5, 2021",17 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.5 GHz core_i5,8 GB 8GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel Iris Xe Graphics,Integrated,"Bluetooth, 802.11a",3.0,8.25 Hours,HP,HP Laptop 17-cn1020nr,17-cn1020nr,,Windows 11 Home,4.53 pounds,15.78 x 10.15 x 0.78 inches,,Natural silver,Intel,4.0,DDR4 SDRAM,8 GB,Gigabit Ethernet,No Optical Storage Device,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,200.0,B0949G5J4Q,"Asus ROG Zephyrus G15 Gaming Laptop, 15.6” 144Hz QHD (2560 x 1440), AMD R9-5900HS, RGB Backlit Keyboard, Wi-Fi 6, USB-C, GeForce RTX 3060 Graphics, Windows 10, 16G 3200 RAM 512G PCIe SSD + 32G WOOV SD","$1,369.90","May 6, 2021",15.6 Inches,,2560 x 1440 Pixels,4.6 GHz ryzen_9,16 GB DDR5,4.6 GHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,Bluetooth,2.0,,ASUS,ROG Zephyrus G15,ROG Zephyrus G15,PC,Windows 10 Home,4.19 pounds,14 x 9.57 x 0.78 inches,,Eclipse Gray,AMD,8.0,DDR4 SDRAM,512 GB,Solid State,no optical,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,200.0,B0B311HRKL,"ASUS ROG Strix G15 Gaming Laptop, 15.6â€  300Hz 3ms IPS Type FHD Display, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 4800H, 16GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 11, G513IE-PH74","$1,224.99","June 2, 2022",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,4.2 GHz amd_ryzen_7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,GeForce RTX 3050 Ti,"Bluetooth, 802.11ax",4.0,,ASUS,ROG Strix G15,G513IE-PH74,PC,Windows 11 Home,4.63 pounds,13.94 x 10.2 x 1.02 inches,,Gray,AMD,8.0,DDR4 SDRAM,512 GB,Solid State,no optical,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,200.0,B07VPGC74L,"HP 2019 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",From $521.97,"July 24, 2019",17.3 Inches,1600 x 900,1600 x 900,1.6 GHz apple_ci5,8 GB SDRAM,3.9 GHz,256 GB SSD,Intel UHD Graphics 620,Intel,Integrated,802.11bgn,1.0,9 Hours,HP,Business Laptop,HP,PC,Windows 10,5.4 pounds,16.3 x 10.7 x 1 inches,,,Intel,4.0,DDR4 SDRAM,256,,DVDRW,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,200.0,B09VGN4D5D,"Newest ASUS ROG Strix G17 Gaming Laptop 17.3” FHD 144HZ IPS, AMD 8-Core Ryzen 7 4800H (＞i7-10750H), 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3060, RGB Backlit Keyboard, Wifi6 Win10 + CUE Accessories","$1,449.99","March 14, 2022",17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.9 GHz ryzen_7_4800h,16 GB DDR4,,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Integrated,Bluetooth,,,ASUS,Rog,Asus ROG Strix,PC,Windows 10,5.95 pounds,15.55 x 11.1 x 1.11 inches,,,AMD,8.0,DDR4 SDRAM,,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,200.0,B0B6S9JDGF,"HP 2022 15.6"" FHD Laptop Computer, AMD Ryzen 5-5500U Processor(Beats Intel i7-1065G7), 8GB RAM, 256GB PCIe SSD, AMD Radeon Graphics, HD Webcam, Bluetooth, Wi-fi, Win 11, Blue, 32GB USB Card",From $489.00,"July 17, 2022",15.6 Inches,,1920 x 1080 Pixels,2.4 GHz ryzen_5,8 GB DDR4,,256 GB SSD,AMD Radeon Graphics,AMD,Integrated,802.11ac,1.0,,HP,AMD Ryzen 5,HP Laptop,PC,Windows 11 Home,3.75 pounds,14.11 x 9.53 x 0.78 inches,,Blue,AMD,6.0,DDR4 SDRAM,,Solid State,,AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,200.0,B08JPDPRJR,"2022 HP Chromebook 14"" HD Touchscreen Laptop Computer, Intel Celeron N3350 Dual-core Processor, 4GB RAM, 32GB eMMC, HD Webcam, Intel HD Graphics 500, USB-C, Chrome OS, Gray, 32GB SnowBell USB Card",$229.00,"September 22, 2020",14 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB DDR3,,32 GB Hybrid,Intel HD Graphics 500,Intel,Integrated,Bluetooth,,,HP,HP,HP,PC,Chrome OS,3.4 pounds,13.3 x 8.9 x 0.7 inches,,Gray,Intel,2.0,DDR3 SDRAM,32 GB,Serial ATA,,Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,200.0,B085B63QYR,"HP 15-cs3019nr Pavilion 15.6-Inch Laptop, Intel Core i7 (Mineral Silver)",From $383.12,"March 22, 2020",15.6 Inches,,1920 x 1080 Pixels,1.3 GHz core_i7_1065g7,16 GB SDRAM,3.9 GHz,512 GB SSD,,Integrated,Integrated,Bluetooth,2.0,10 Hours,HP,HP Pavilion 15 Laptop,15-cs3019nr,PC,Windows 10 Pro,4.08 pounds,14.24 x 9.67 x 0.7 inches,,Mineral Silver,Intel,4.0,DDR4 SDRAM,16,Gigabit Ethernet,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,200.0,B072KPHQBP,Lenovo ThinkPad T440 14in NoteBook PC - Intel Core i5-4300u 1.90GHz 8GB 250GB SSD Windows 10 Professional (Renewed),$160.00,"June 15, 2017",14 Inches,1366 x 768,1366 x 768,1.9 GHz apple_ci5,8 GB DDR3,,250 GB SSD,INTEL HD,Intel,Integrated,,,3 Hours,Lenovo,Thinkpad,MBIBMT440/1.9CI5,PC,Windows 10 Pro,4 pounds,9.15 x 13.34 x 0.82 inches,,Black,Intel,1.0,DDR3 SDRAM,250,Solid State,No Optical Drive,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,200.0,B0B6HP2JVR,"Dell XPS 15 9520 Laptop (2022) | 15.6"" 4K Touch | Core i9 - 1TB SSD - 32GB RAM - 3050 Ti | 14 Cores @ 5 GHz - 12th Gen CPU Win 11 Home","$2,844.96","July 8, 2022",15.6 Inches,,3456x2160 MP,3.8 GHz core_i9,32 GB DDR5,,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,Bluetooth,,,Dell,XPS 9520 Laptop,XPS 9520 Laptop,PC,Windows 11 Home,8 pounds,29 x 29 x 29 inches,,Platinum Silver,Intel,14.0,DDR4 SDRAM,,Solid State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,200.0,B09LYHLVTJ,"ASUS ZenBook Duo 14 UX482 14” FHD NanoEdge Touch Display, Core i7-1195G7, GeForce MX450, 32GB RAM, 1TB SSD, Innovative ScreenPad Plus, Windows 11 Pro, WiFi 6E, Celestial Blue, UX482EGR-XB77T","From $2,299.00","November 16, 2021",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.8 GHz apple_ci7,32 GB DDR4,,1 TB SSD,NVIDIA GeForce MX450,NVIDIA,GeForce MX450,"Bluetooth, 802.11ax",1.0,,ASUS,ASUS ZenBook Duo 14,UX482EGR-XB77T,,Windows 11 Pro,6.84 pounds,12.76 x 8.74 x 0.67 inches,,Celestial Blue,Intel,4.0,DDR4 SDRAM,32 GB,ESATA,No Drive,,1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,200.0,B07QM1XJ8L,"ASUS Chromebook C523NA-DH02 15.6"" HD NanoEdge Display, 180 Degree, Intel Dual Core Celeron Processor, 4GB RAM, 32GB eMMC Storage, Silver Color (Renewed)",From $233.75,"April 11, 2019",15.6 Inches,,1366 x 768 Pixels,2.4 GHz celeron,4 GB LPDDR4,1.1 GHz,32 GB SSD,Intel HD Graphics 500,Intel,Integrated,802.11a/b/g/n/ac,,10 Hours,ASUS,ASUS Chromebook C523,,PC,Chrome OS,3.1 pounds,9 x 20 x 3 inches,,,Intel,2.0,DDR4 SDRAM,32 GB,ESATA,,Battery Powered,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
