page.status_code,ID,Name,Price,Release_Date,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Power Source,Batteries
200,B0BCL55FCS,"Lenovo ThinkPad L14 Gen 3 21C1004BUS 14"" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1255U Deca-core (10 Core) - 16 GB Total RAM - 256 GB SSD - Thunder Black - Intel","$1,317.91","July 30, 2022",14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,core_i7,,,256 GB,,Intel,Integrated,Bluetooth,,,Lenovo,,21C1004BUS,,Windows 11 Pro,22.7 pounds,,,,Intel,,,,,,,
200,B00408LG7E,"Dell Precision M90 Mobile Workstation 17-Inch Notebook (IntelCore 2 Duo 64-bit Processor, 4 GB RAM, 60 GB Hard Drive, NVIDIA Quadro FX 3500M)",,"August 20, 2010",17 Inches,,1440 x 900 Pixels,2 GHz intel_core_2_duo,4 GB,,SSD,FX1500M,NVIDIA,Dedicated,,,,Dell,Dell Precision,M90,PC,Windows XP Professional,13 pounds,,,Steel Grey,Intel,2,DDR2 SDRAM,,ATA-3,,,
200,B01BN0NVCY,"HP V2V90UT#ABA Business 12"" 1012 M5 6Y57 8GB 512GB Laptop",,"July 28, 2017",12 Inches,,1920x1080 Pixels,2 GHz core_i7_5500u,8 GB DDR3,1866 MHz,512 GB SSD,Intel HD Graphics 515,Intel,Integrated,802.11g/n,4,10.25 Hours,HP,Elite x2,V2V90UT#ABA,Windows,Windows 7 Professional,3.75 pounds,18 x 11.6 x 3 inches,,,Intel,2,Unknown,512,Serial ATA-600,,,1 Lithium Polymer batteries required. (included)
200,B096YGV78W,"Lenovo ThinkPad X1 Carbon 9th Gen 9 Intel Core i7-1185G7, FHD Non-Touch Screen,16GB RAM, 1TB NVMe SSD, Backlit KYB Fingerprint Reader, Win10 Pro",,"June 7, 2021",14 Inches,3840 x 2400,1920 x 1080 Pixels,3 GHz core_i7,16 GB DDR4,2400 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,Lenovo,ThinkPad X1 Carbon Gen 9,Lenovo ThinkPad X1 Carbon (9th Gen),PC,Windows 10 Pro,4.34 pounds,17.4 x 3.1 x 11.5 inches,,Black,Intel,1,SDRAM,1000 MB,PCIE x 4,,Battery Powered,1 Lithium Ion batteries required. (included)
200,B08NCXJ2ZF,"2021 Newest Dell Inspiron 5510 Laptop, 15.6"" FHD Display, Intel Core i7-11370H, 32GB RAM, 2TB PCIe SSD, Thunderbolt 4, HDMI, Webcam, Fingerprint Reader, Wi-Fi 6, Backlit Keyboard, Silver, Win 10",,"November 12, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.7 GHz core_i7_family,32 GB SDRAM,,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,802.11ac,,,Dell,Inspiron,5502,PC,Windows 10,3.78 pounds,14.02 x 9.23 x 0.7 inches,,,Intel,4,SDRAM,,PCIE x 4,,Battery Powered,
200,B00GDHUZYK,"ASUS Q550LF-BBI7T07 15.6"" Touch Screen 8GB Memory 1TB Hard Drive",,"September 20, 2013",15.6 Inches,1920 x 1080 pixels,1920 x 1080,2.6 GHz core_i7,,1600 MHz,1 TB HDD,NVIDIA GeForce GT 745M,NVIDIA,Integrated,"802.11abg, 802.11ab",3,16 Hours,ASUS,Q550LF,Q550LF-BBI7T07,PC,Windows 8,6 pounds,15.6 x 15.1 x 1.1 inches,,Black,Intel,2,DDR3 SDRAM,,ESATA,,Corded Electric,
200,B088KV3MJ2,"2020 Newest HP Stream 14 Inch Laptop, AMD A4-9120e up to 2.5 GHz, 4GB RAM, 64GB eMMC, Windows 10 , Black + CUE 64GB MicroSD Card Bundle",$139.00,"May 11, 2020",14 Inches,1366 x 768,1366 x 768) Pixels,1.5 GHz amd_a4,4 GB DDR4,2.2 GHz,64 GB SSD,AMD Radeon R3,AMD,Integrated,802.11abg,,8 Hours,HP,Stream 14,Stream 14,PC,Windows 10,3.94 pounds,13.3 x 8.9 x 0.7 inches,,Black,AMD,2,DDR4 SDRAM,64 GB,ESATA,,AC & Battery,1 Lithium Ion batteries required. (included)
200,B081QT4BL1,"HP EliteBook 850 G3 15.6 FHD, Core i7-6600U 2.6GHz, 16GB RAM, 512GB Solid State Drive, Windows 10 Pro 64Bit, CAM, (Renewed)",$429.99,"November 19, 2019",15.6 Inches,,3840 x 2160 Pixels,2.6 GHz core_i7,16 GB DDR4,3.4 GHz,512 GB SSD,Intel HD Graphics 520,Intel,Integrated,,,,HP,HP EliteBook 850 G3,EliteBook 850 G3,PC,Windows 10,4.06 pounds,10.1 x 15.1 x 0.8 inches,,,Intel,2,DDR4 SDRAM,,Solid State,,,1 Lithium Ion batteries required. (included)
200,B0BQ8YP75Q,ASUS 2022 TUF Dash F15 Gaming Laptop 15.6” 144Hz FHD Display 12th Intel i7-12650H 10-Core 32GB DDR5 2TB SSD NVIDIA GeForce RTX 3060 6GB GDDR6 WiFi 6 Thunderbolt Backlit KB RJ45 Win 10 Pro w/RATZK USB,,"December 15, 2022",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,3 GHz core_i7_family,32 GB DDR5,4800 MHz,2 TB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,,4,6 Hours,ASUS,FX517ZR,FX517ZR,PC,Windows 10 Pro,10 pounds,13.94 x 9.88 x 0.78 inches,,Off Black,Intel,10,DDR5 SDRAM,,PCIE x 4,No Optical Drive,AC & Battery,
200,B094RDX7NP,HP Pro Chromebook Enterprise 14-Inch Laptop c645 - AMD Ryzen 7 3700C Quad-Core - 16 GB RAM - 128 GB SSD - Pike Silver Aluminum - Chrome OS - AMD Radeon Graphics,$870.61,"May 15, 2021",14 Inches,1920 x 1080 pixels,1920 x 1080,4 amd_ryzen_7,,,128 GB SSD,AMD Radeon Graphics,AMD,Dedicated,,1,,HP,ProCBc645E,2Z5S7UT#ABA,,Chrome OS,4 pounds,,,,AMD,1,,8 GB,,BD-R,,
200,B00O0M750W,"HP OMEN 15.6 Inch Laptop (Intel Core i7, 8 GB, 256 GB SSD, Black) NVIDIA GeForce GTX 860M","$1,895.00","June 28, 2017",15.6 Inches,1920 x 1080 pixels,1920x1080 Pixels,2.5 GHz core_i7,8 GB DDR3L SDRAM,1600 MHz,256 GB SSD,NVIDIA GeForce GTX 860M,NVIDIA,Dedicated,802.11ac,4,,HP,HP OMEN,J9K19UA#ABA,PC,Windows 8.1,4.68 pounds,9.67 x 15.07 x 0.61 inches,,Black,Intel,4,DDR3 SDRAM,256,Solid State,,,1 Lithium Ion batteries required. (included)
200,B0B52C1NFB,"2022 Lenovo Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 20 GB DDR4 RAM, 256GB PCIe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond / TGC Accessories",$465.95,"June 24, 2022",15.6,,1366 x 768 Pixels,3 GHz apple_ci3,20 GB DDR4,,SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,2,,Lenovo,Ideapad 3,,,Windows 11 Home,3.74 pounds,,,,Intel,2,,256 GB,,,,
200,B08VKQSLSB,"HP OMEN 17 Premium Gaming Laptop PC, 17.3"" FHD 144Hz IPS Display, Intel Core i7-10750H, RTX 2070 8GB, 64GB DDR4 RAM, 2TB SSD + 2TB HDD, Webcam, RGB Backlit Keyboard, WiFi 6, Win 10 Home","$2,499.00","February 1, 2021",17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,5 GHz core_i7,64 GB SDRAM,2.6 GHz,2 TB SSD,NVIDIA GeForce RTX 2070,NVIDIA,Dedicated,802.11ax,,,HP,Omen 17,Omen 17,PC,Windows 10 Home,7.12 pounds,15.94 x 11.22 x 1.18 inches,,Black,Intel,6,DDR4 SDRAM,,PCIE x 4,,AC & Battery,
200,B082QZSLDM,"HP 17-by1061st 17.3"" Laptop, Intel 8th Generation i3-8145U, 8GB DDR4 Memory, 1TB HDD, Win 10 Home (Renewed)",,"December 13, 2019",17.3 Inches,1600x900,1600 x 900,2.1 GHz core_i3,8 GB DDR4,2400 MHz,1000 GB HDD,Intel UHD Graphics 620,Intel,Integrated,"Bluetooth, 802.11b",,9.5 Hours,HP,HP 17-by1061st,,PC,Windows 10,4.7 pounds,21 x 12 x 3 inches,,,Intel,2,DDR4 SDRAM,,Serial ATA-600,,Battery Powered,1 Lithium Polymer batteries required. (included)
