ID,Name,Price,Processor,Number of USB 3.0 Ports,Number of Processors,Computer Memory Type,Hard Drive Interface,Bluetooth,Wireless_Year,Numeric_Release_Date,Numeric_Display_Size,Resolution_Width,Resolution_Height,Numeric_RAM,Numeric_Memory_Speed,Numeric_Drive_Capacity,Drive_Type,Numeric_Battery_Capacity,Numeric_Battery_Life,Clean_Brand,Clean_Series,Clean_Operating_System,Lithium_Battery_Technology,Clean_Processor_Type,Numeric_Processor_Speed,Height,Depth,Width,Clean_Processor_Brand,Numeric_Flash_Size,Clean_Optical_Drive,Graphics_Coprocessor_Category,Chipset_Category,Integrated_Graphics,Color_Category,Number_of_Color_words,Numeric_Weight
B00503H57I,"Dell Latitude E5520 15.6"" LED Notebook - Core i5 i5-2520M 2.50 GHz",174.99,2.5 GHz core_i5,,1.0,SDRAM,serial ata-600,True,,1304985600.0,15.6,,,4.0,2500.0,320000000.0,HDD,,,dell,,windows 7,,i5,2.5,8.7,16.6,23.3,intel,,,intel,intel,True,black,1.0,5.14
B005IUFKKW,"Compaq Presario Cq57-229wm Replacement LAPTOP LCD Screen 15.6"" WXGA HD LED DIODE (Substitute Replacement LCD Screen Only. Not a Laptop )",51.05,,,,,,False,,1322006400.0,15.6,1366.0,768.0,,,,,,,hp,,,,,,1.5,10.5,17.5,,,,,,,,,0.5
B005NBP9UW,HP PAVILION G7-1219WM Laptop Screen 17.3 LED BOTTOM LEFT WXGA++ 1600x900,64.43,,,,,,False,,1316044800.0,17.3,1600.0,900.0,,,,,,,hp,,,,,,1.5,10.5,17.5,,,,,,,,,0.5
B0071N53K6,"HP Mini 1104 A7K69UT#ABA 10.1-Inch Netbook (Intel Atom N2600 Dual-core, 2 GB, 320 GB HD, Windows 7 Home Premium), Black",499.95,1.6 GHz atom_n2600,,1.0,SDRAM,serial ata,False,1999.0,1327449600.0,10.2,1024.0,600.0,2.0,1333.0,320000000.0,HDD,,9.0,hp,,windows 7,lithium ion,,1.6,3.3,10.3,16.8,intel,,,intel,intel,True,,,4.4
B007PAR6SC,"Dell Latitude E6520 16-Inch LED Notebook (Intel Core i7 i7-2640M 2.80 GHz, 4GB DDR3, 320GB HDD, DVD-Writer, Intel HD 3000 Graphics, Bluetooth Windows 7)",142.36,core_i7,,1.0,DDR3 SDRAM,,True,,1332892800.0,15.6,1366.0,768.0,4.0,2800.0,256000000.0,HDD,,,dell,latitude,windows 7,,i7,,,,,intel,,,intel,intel,True,,,12.3
B007PN2L3Y,Dell Latitude E6420 14 LED Notebook Intel Core i5 i5-2520M 2.50 GHz 4GB DDR3 320GB HDD DVD-Writer Intel HD 3000 Graphics Bluetooth,120.95,2.5 GHz core_i5,,5.0,DDR3 SDRAM,serial ata,False,1999.0,1332979200.0,14.0,1366.0,768.0,,2500.0,320000000.0,HDD,,3.0,dell,latitude,windows 7,lithium ion,i5,2.5,1.06,9.49,13.86,intel,,,intel,intel,True,,2.0,4.56
B0083LOZFE,"Dell Latitude E4300 13.3"" Laptop (Intel Core 2 Duo 2.4Ghz, 160GB Hard Drive, 4096Mb RAM, DVDRW Drive, XP Profesional)",119.0,2.4 GHz Core_2_Duo,,1.0,DDR3 SDRAM,esata,False,1999.0,1302825600.0,13.3,1200.0,800.0,2.0,,160000000.0,SSD,,,dell,latitude,windows xp,,,2.4,1.25,9.0,12.25,intel,,,,intel,True,black,1.0,3.3
B0087RJYM8,"HP Business H2W17UT HP Essential Top Load Case,Black",20.99,,,,,,False,,1339977600.0,15.6,,,,,,,,,hp,,,,,,2.6,13.2,18.5,,,,,,,black,1.0,1.0
B008C4VAW8,"HP 2000-329WM Laptop LCD Screen Replacement 15.6"" WXGA HD LED",51.02,,,,,,False,,1344988800.0,,,,,,,,,,,,,,,,0.32,1.0,14.1,,,,,,,,,0.5
B008V6TOAC,Dell Latitude E5430 14' LED Notebook - Intel Core i5 2.50 GHz,139.99,,,,,,False,,1344470400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
B0091T2GLC,"Lenovo Yoga C930 2-in-1 13.9"" FHD Touch-Screen Laptop - Intel i7, 12GB DDR4, 512GB PCIe SSD, 2X Thunderbolt 3, Dolby Atmos Audio, Webcam, WiFi, Active Pen, 3 LBS, 0.6"", Windows 10, Iron Gray",1149.0,4 GHz core_i7,,4.0,DDR4 SDRAM,solid state,True,,1345766400.0,13.9,1920.0,1080.0,12.0,2400.0,512000000.0,SSD,,12.0,lenovo,,windows 10,,i7,4.0,0.91,9.27,14.11,intel,512.0,,intel,intel,True,gray,3.0,3.0
B009AEVMH2,ASUS S56 15-Inch Laptop [OLD VERSION],299.0,1.7 GHz core_i5,1.0,2.0,SODIMM,serial ata,False,1999.0,1347494400.0,15.0,1366.0,768.0,6.0,1600.0,750000000.0,SSD,,,asus,,windows 8,lithium ion,i5,1.7,0.83,10.5,14.9,intel,,DL DVDRW/CD-RW,intel,intel,True,black,1.0,5.1
B009F1JL5A,ASUS S400CA-DH51 14-Inch TouchScreen Laptop,499.95,1.7 GHz core_i5,1.0,2.0,DDR3 SDRAM,serial ata,False,1999.0,1350000000.0,14.0,1366.0,768.0,4.0,1600.0,500000000.0,Hybrid,,5.5,asus,,windows 8,lithium ion,i5,1.7,0.8,9.4,13.3,intel,,,intel,intel,True,black,1.0,3.96
B009FMPI38,Dell Latitude E6500 Core 2 Duo 160GB Notebook,99.0,2.4 GHz Core_2_Duo,,2.0,DDR2 SDRAM,serial ata,True,,1348358400.0,15.4,1280.0,800.0,4.0,,160000000.0,,,,dell,latitude,windows 7,,,2.4,2.75,12.5,20.5,intel,,,,intel,True,,4.0,5.17
B009Q4WDSS,"HP Commercial Refurbished ProBook 6460b 14"" Notebook PC - 90-Day Warranty",295.97,2.3 GHz core_i5,,2.0,SODIMM,serial ata,True,,1349395200.0,14.0,1366.0,768.0,,2300.0,250000000.0,,,,hp,,,,i5,2.3,,,,intel,,,intel,intel,True,,,4.6
B009TC9D5I,Dell Latitude E6400 14-Inch Laptop Intel 45 Express Chipset,138.99,,,2.0,DDR2 SDRAM,serial ata,False,,1350604800.0,14.1,1280.0,800.0,4.0,,160000000.0,HDD,,19.0,dell,,windows 7,lithium ion,,,,,,,,,intel,intel,True,black,1.0,7.75
B00ASN668E,"2022 Newest HP Pavilion x360 2-in-1 Laptop, 14 inch FHD Multi-Touch Display, Intel Core i5-1135G7 (Beats i7-1065G7), 16GB RAM, 1TB SSD, ,Windows 11 Home, Bundle with JAWFOAL",729.99,4.2 GHz core_i5,2.0,4.0,DDR4 SDRAM,solid state,False,1999.0,1356307200.0,14.0,1920.0,1080.0,8.0,,,SSD,,,lenovo,,windows 11,,i5,4.2,0.71,8.7,12.76,intel,,,iris,intel,True,silver,1.0,5.04
B00B0EUST8,"Dell Latitude E6410 14.1"" Core i5 160GB Windows Professional 32bit Notebook",118.93,2.4 GHz core_i5,,1.0,DDR3 SDRAM,serial ata-150,False,1999.0,1357948800.0,14.1,,,2.0,,160000000.0,HDD,,,dell,latitude,windows 7,lithium ion,i5,2.4,1.2,9.4,13.2,intel,,,intel,intel,True,silver,1.0,4.2
B00B34RK00,Dell Latitude E5430 14' LED Notebook - Intel Core i3 i3-3110M 2.40 GHz,121.0,2.4 GHz core_i3,,1.0,DDR3 SDRAM,serial ata,False,2008.0,1358553600.0,14.0,1366.0,768.0,2.0,,320000000.0,HDD,,,dell,latitude,windows 7,,i3,2.4,4.13,13.19,20.28,intel,,,intel,intel,True,,,5.04
B00BNRKWMU,HP EliteBook Folio 9470m 14-Inch Laptop i7-3687U 8GB 256GB-SSD Windows 7 (Silver),179.0,2.1 GHz core_i7,3.0,2.0,DDR3 SDRAM,solid state,False,1999.0,1362268800.0,14.0,1600.0,900.0,8.0,1600.0,256000000.0,,,9.5,hp,elitebook,windows 8,lithium ion,i7,2.1,1.0,1.0,1.0,intel,,,intel,intel,True,silver,1.0,1.0
B00CIDZJ2G,"HP EliteBook Folio E1Y37UT 14-Inch Laptop (1.8 GHz Intel Core i5 3337U Processor, 4GB DDR3, 320GB HDD, Windows 8 Pro) Silver",149.0,1.8 GHz core_i5,3.0,1.0,DDR3 SDRAM,serial ata,False,1999.0,1366761600.0,14.0,1366.0,768.0,4.0,1600.0,320000000.0,,,8.0,hp,elitebook,windows 8,lithium ion,i5,1.8,1.0,1.0,1.0,intel,,None,intel,intel,True,silver,1.0,1.0
B00CIINA0O,IBM Lenovo 170W Replacement AC Adapter for ThinkPad W530,47.9,,,,,,False,,1366848000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
B00D98CY0O,"Dell Latitude 5430 Laptop - 14"" FHD IPS Display - 3.3 GHz Intel Core i5-1245U 10-Core (12th Gen) - 16GB - 512GB SSD - Windows 11 Pro",899.0,1.6 GHz apple_ci5,2.0,10.0,,,False,,1664409600.0,14.0,1920.0,1080.0,,,,SSD,,,dell,latitude,windows 11,lithium ion,i5,1.6,0.82,8.35,12.65,intel,512.0,None,,intel,True,,,5.09
B00E84GQWU,Dell Latitude E5420 Laptop i7 2.7Ghz 2GB Ram 250GB SATA Windows 7 P DVDRW MS Office 30 Day Free Trial & Kaspersky Anti-Virus Premier B,249.95,2.7 GHz core_i7,,1.0,,,False,,1454544000.0,14.0,,,2.0,2700.0,,,,,dell,latitude,windows 7,,i7,2.7,,,,intel,,,,intel,True,,,8.0
B00EW1M9BQ,"HP Pavilion G6 New Replacement 15.6"" LED LCD Screen WXGA HD Laptop Display fits G6-1B49WM, G6-1B59WM, G6-2249WM, G6-2269WM, G6-1C00, G6-1A00",51.02,,,,,,False,,1377820800.0,15.6,,,,,,,,,hp,,,,,,1.5,10.5,17.5,,,,,,,,,0.5
B00EXY6EC2,"Dell Latitude E6530 Laptop, Intel Core 3rd Generation i5-3340M Processor 2.70GHz Turbo, 4gb, 320gb HD, Windows 7 Professional, DVD drive, Intel HD Graphics 4000, 15.6"" LED display",151.42,core_i5,,1.0,DDR3 SDRAM,,False,1999.0,1378166400.0,15.6,,,4.0,1600.0,500000000.0,SSD,,,dell,,windows 7,,i5,,2.0,10.0,16.0,,3.0,,intel,intel,True,black,1.0,5.6
B00FEE78LQ,Dell XPS 15 XPS15-4737sLV 15.6-Inch Touchscreen Laptop,359.99,2.6 GHz Core_i5_4200H,3.0,,DDR3 SDRAM,solid state,False,2014.0,1381276800.0,15.6,1920.0,1080.0,8.0,1600.0,500000000.0,SSD,,,dell,xps,windows 10,lithium ion,i5,2.6,0.5,10.0,14.6,intel,,,intel,intel,True,,,4.44
B00FJXVRM8,HP Chromebook 11-1101 (White/Blue),69.99,1.7 GHz Exynos_5250,,2.0,DDR3 SDRAM,,False,1999.0,1381363200.0,11.6,1366.0,768.0,2.0,1700.0,16000000.0,SSD,,6.0,hp,pavilion,chrome os,lithium ion,,1.7,0.69,7.68,11.69,samsung,,,,,True,white,1.0,2.26
B00GIXKUIA,"Dell Latitude E6410 Core i5 2.67GHz, 4GB RAM, 250GB Hard Drive, DVDRW, 14.1"" Display, Windows 10 Professional",135.0,2.67 GHz core_i5,,1.0,DDR3 SDRAM,esata,False,1999.0,1397174400.0,14.1,1440.0,900.0,4.0,,320000000.0,HDD,,3.0,dell,latitude,windows 10,lithium ion,i5,2.67,7.0,14.0,18.0,intel,,DVD,nvidia,intel,True,,,6.0
B00GQATWW0,"Lenovo ThinkPad T440p 20AN0069US 14"" LED Notebook - Intel - Core i5 i5-4200M 2.5GHz - Black",149.0,2.5 GHz core_i5,2.0,1.0,DDR3 SDRAM,serial ata,False,1999.0,1385251200.0,14.0,1366.0,768.0,4.0,2500.0,500000000.0,,,7.0,lenovo,thinkpad,windows 7,lithium ion,i5,2.5,1.18,9.02,13.2,intel,,DVDRW,,intel,True,black,1.0,4.77
B00GVGIP9A,"Dell Latitude D820 15.4"" Laptop with Dell Reinstallation XP Professional Disk (Intel Duo Core 1.83Ghz, 80GB Hard Drive, 2048Mb RAM, DVD/CDRW Drive, WiFi, XP Professional)",109.0,1.83 GHz intel_core_duo,,2.0,DDR2 SDRAM,,False,1999.0,1385164800.0,15.4,,,2.0,1830.0,80000000.0,,,,dell,latitude,windows xp,,,1.83,,,,intel,,,,intel,True,,,8.32
B00IGEALEW,"Dell Latitude D620 14.1-Inch Laptop (Intel Core Duo T2400 1.83GHz, 2GB, 80GB, DVD, Windows XP), Silver",125.26,1.83 GHz core_duo,,2.0,DDR2 SDRAM,serial ata,False,,1392336000.0,14.1,,,2.0,1830.0,80000000.0,,,,dell,,windows xp,lithium ion,,1.83,,,,intel,,,nvidia,intel,True,silver,1.0,5.0
B00J39HLEM,"Asus Chromebook C200MA-EDU 11.6"" Laptop",149.99,2.16 GHz celeron,1.0,2.0,DDR3 SDRAM,,False,2014.0,1395100800.0,11.6,1366.0,768.0,2.0,2160.0,16000000.0,SSD,,10.5,asus,,chrome os,,celeron,2.16,3.0,11.0,14.5,intel,,,intel,intel,True,,,3.8
B00K4PATS4,"Dell Inspiron i3542-5000BK 15.6-Inch Multi-Touch Laptop 4th Generation Intel Core i3-4030U Processor 4GB DDR3, 500GB Hard Drive Integrated Graphics Windows 8.1",259.0,1.9 GHz core_i3,1.0,2.0,,,False,1999.0,1501718400.0,15.6,1366.0,768.0,4.0,1600.0,500000000.0,HDD,,5.25,dell,inspiron,windows 8,lithium ion,i3,1.9,3.11,13.39,19.02,intel,,,intel,intel,True,black,1.0,6.0
B00K6ZIGG4,"Lenovo Laptop IdeaPad G50 (59421808) Intel Core i7 4510U (2.00 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 4400 15.6"" Windows 8.1",349.0,2 GHz core_i7,1.0,1.0,DDR3 SDRAM,,False,1999.0,1403136000.0,15.6,1366.0,768.0,8.0,1600.0,1000000000.0,HDD,,5.0,lenovo,,windows 8,lithium ion,i7,2.0,0.98,10.43,15.12,intel,256.0,DVDRW,intel,intel,True,black,1.0,4.63
B00KNSCVZ6,"Dell Latitude D820 15.4"" Laptop - Intel Core 2 Duo 1.66GHz, 2GB, 120GB, DVD-Combo, Win 7 Home 32-Bit",103.0,1.66 GHz intel_core_2_duo,,1.0,DDR2 SDRAM,serial ata,False,2003.0,1401408000.0,15.4,1280.0,800.0,2.0,,120000000.0,HDD,,,dell,latitude,windows 7,,,1.66,1.4,10.3,14.2,intel,,,intel,intel,True,gray,1.0,6.0
B00N1JR61S,"HP ProBook 6570b (C4R43US#ABA) Notebook i5 3320M (2.60GHz) 4GB Memory 320GB HDD Intel HD Graphics 4000 15.6"" Windows 7 Professional 64-Bit",111.05,2.4 GHz core_i5,,2.0,DDR3 SDRAM,serial ata,False,,1409011200.0,15.6,1366.0,768.0,4.0,2600.0,320000000.0,HDD,,,hp,pro,windows 7,,i5,2.4,,,,intel,,,intel,intel,True,,,8.25
B00NY29UIO,"ASUS X205TA-DS01-BL-OFCE Portable 11.6-Inch Intel Quad-Core Laptop 2GB RAM 32GB Storage, Windows 8.1, Dark Blue",219.95,1.33 GHz intel_atom,,1.0,,,False,1999.0,1413763200.0,11.6,,,2.0,1830.0,,SSD,,8.0,asus,,windows 8,lithium polymer,,1.33,10.1,12.7,15.3,intel,,None,intel,intel,True,blue,2.0,1.5
B00O0M750W,"HP OMEN 15.6 Inch Laptop (Intel Core i7, 8 GB, 256 GB SSD, Black) NVIDIA GeForce GTX 860M",1895.0,2.5 GHz core_i7,4.0,4.0,DDR3 SDRAM,solid state,False,2014.0,1498608000.0,15.6,1920.0,1080.0,8.0,1600.0,256000000.0,SSD,,,hp,,windows 8,lithium ion,i7,2.5,0.61,9.67,15.07,intel,,,geforce,nvidia,False,black,1.0,4.68
B00P1RSHG6,"HP CHROMEBOOK 14SMB, CELERON 2955U, 14.0 HD BV LED SVA, UMA, Webcam, 4GB DDR3 RA",59.99,celeron,,1.0,,,False,,1414627200.0,,,,4.0,,,,,,hp,,chrome os,,celeron,,,,,intel,,,,,True,,,6.0
B00QO2PR60,Lenovo ThinkPad T440 Intel Core i5-4300U 8GB 256GB 14 Display WIN10 Pro,135.0,1.9 GHz core_i5,,2.0,DDR3 SDRAM,solid state,True,,1417824000.0,14.0,1600.0,900.0,8.0,,256000000.0,SSD,,8.6,lenovo,thinkpad,windows 8,,i5,1.9,0.8,8.89,13.03,intel,256.0,,intel,intel,True,black,1.0,4.0
B00T0Z50OM,"Dell Latitude 14 5000 E5450 14"" LED Intel Core i7 i7-5600U 2.60GHz 8GB RAM 256GB SSD Windows 7 Professional 64-bit Notebook 463-5065",525.98,2.6 GHz core_i7,,2.0,,,,,1422748800.0,14.0,,,16.0,1600.0,,SSD,,,dell,latitude,windows 7,,i7,2.6,0.9,9.1,13.19,intel,,,intel,intel,True,,,3.99
B00T0ZI3DW,"Dell Latitude 14 5000 E5450 14"" Laptop (2.3 GHz Intel Core i5-5300U, 4 GB RAM, 500 GB HDD, Windows 7 Professional) Black",360.99,2.6 GHz core_i5,,2.0,DDR3 SDRAM,,True,1999.0,1422748800.0,14.0,,,4.0,2300.0,500000000.0,HDD,,,dell,,windows 10,lithium ion,i5,2.6,0.9,9.1,13.2,intel,256.0,,intel,intel,True,,,4.0
B00TCUAGJ4,"Dell Latitude E6540 15.6"" LED Notebook - Intel Core i7 i7-4610M Dual-core (2 Core) 3 GHz - Anodized Aluminum DV28D",469.0,3 GHz core_i7,,2.0,DDR3 SDRAM,serial ata,True,1999.0,1423353600.0,15.6,1920.0,1080.0,8.0,1600.0,256000000.0,SSD,,6.0,dell,latitude,windows 7,,i7,3.0,4.13,13.56,19.41,intel,256.0,,radeon,intel,True,,,7.85
B00V7CAKKK,"Lenovo N21 11.6"" Chromebook Laptop, Intel N2840 2.16GHz Dual-Core, 16GB Solid State Drive, 802.11ac, ChromeOS",49.99,2.1 GHz celeron,1.0,2.0,DDR3 SDRAM,solid state,False,2014.0,1424563200.0,11.0,1366.0,768.0,4.0,,16000000.0,SSD,,9.5,lenovo,,chrome os,lithium ion,celeron,2.1,2.7,11.0,16.6,intel,,,intel,intel,True,black,1.0,1.65
B00VH0LUWE,"Dell Latitude E6430 14"" Notebook PC - Intel Core i5-3320 2.6GHz 8GB 320gb SATA Windows 10 Professional",210.98,,,1.0,DDR3 SDRAM,,False,,1427760000.0,14.0,,,8.0,2600.0,320000000.0,HDD,,,dell,latitude,windows 10,,,,,,,intel,8.0,,,intel,True,,,7.98
B00VKL0I96,"Dell Latitude E6420 14.1-Inch Laptop (Intel Core i5 2.5GHz with 3.2G Turbo Frequency, 4G RAM, 128G SSD, Windows 10 Professional 64-bit) (Renewed)",148.59,2.5 GHz core_i5,,2.0,DDR3 SDRAM,,False,1999.0,1427932800.0,14.1,,,4.0,2500.0,128000000.0,SSD,,1.0,dell,latitude,windows 10,lithium ion,i5,2.5,1.3,9.5,13.9,intel,128.0,,intel,intel,True,,1.0,5.0
B00VT0Z9QA,"ASUS Transformer Book T100TA-C1-GR 10.1"" Detachable 2-in-1 Touchscreen Laptop, 64GB (Grey)",299.95,intel_atom,,4.0,SORIMM,,True,,1400544000.0,10.0,1366.0,768.0,2.0,1330.0,,SSD,,11.0,asus,,windows 8,lithium ion,,,,,,intel,64.0,,intel,intel,True,gray,1.0,3.45
B00W2PI49U,"Dell Laptop Latitude E6540 15.6"" i5 4310M 8GB RAM 500GB HD Windows 7",154.9,apple_ci5,,1.0,DDR3 SDRAM,,False,,1428883200.0,15.6,,,8.0,,,,,,dell,latitude,windows 7,,i5,,,,,intel,,,radeon,amd,True,,,8.0
B00WIUU4YM,"Dell Laptop Latitude E6530 15.6"" i7 3740QM NVS 5200M 8GB RAM 320GB HD Windows 7",158.0,,,1.0,DDR3 SDRAM,,False,,1429660800.0,15.6,,,8.0,2700.0,500000000.0,,,,dell,latitude,windows 7,,,,,,,intel,,,nvidia,nvidia,False,,,11.3
B00ZZ94CS2,Dell Latitude E6440 14 Inch LED Business Laptop Intel Core i7 i7-4610M 16GB RAM 256GB Solid State Drive DVDRW Webcam WiFi+BT Windows 7 Professional,299.99,2.9 GHz core_i7,,1.0,DDR3 SDRAM,solid state,,,1434672000.0,14.0,,,16.0,1600.0,256000000.0,SSD,,,dell,latitude,windows 7,lithium metal,i7,2.9,1.11,10.16,15.12,intel,256.0,,intel,intel,True,,2.0,5.52
B014LQRLDC,"Lenovo Thinkpad T450 (20BV-0065US) Intel Core i5-5300U, 8GB RAM, 256GB SSD, Win10",140.0,2.6 GHz core_i5,,,DDR3 SDRAM,ethernet 10/100/1000,False,1999.0,1440720000.0,14.0,1600.0,900.0,8.0,,,SSD,,,lenovo,thinkpad,windows 7,lithium ion,i5,2.6,0.83,9.15,13.35,intel,256.0,,intel,intel,False,black,1.0,3.58
B014LQS88O,"Lenovo ThinkPad 11E 11.6"" Ultraportable Business Notebook, Intel N2940 Quad-Core, 128GB Solid State Drive, 4GB DDR3, 802.11ac, Bluetooth, Win10Pro",81.02,1.83 GHz celeron,,1.0,SODIMM,,True,,1440720000.0,11.6,1366.0,768.0,4.0,1830.0,128000000.0,SSD,,,lenovo,thinkpad,windows 10,lithium ion,celeron,1.83,4.7,10.4,13.0,intel,128.0,,intel,intel,True,black,1.0,4.55
B01578ZKPO,"ASUS ROG GL552VW-DH71 15-Inch Gaming Laptop, Discrete GPU GeForce GTX 960M 2GB VRAM, 16GB DDR4, 1TB (ROG Metallic)",1129.5,2.6 GHz core_i7,2.0,4.0,GDDR3,serial ata-600,False,2014.0,1444348800.0,15.0,,,16.0,2133.0,1000000000.0,HDD,,7.0,asus,rog,windows 10,lithium ion,i7,2.6,1.3,10.1,15.1,intel,16.0,DL DVDRW/CD-RW,geforce,nvidia,False,,1.0,5.6
B015PF9762,Dell Latitude E6540 Business Laptop 15.6 Inch Intel Core i7 i7-4610M 3.0 GHz 8GB DDR3L 500GB Solid State Hybrid Drive SSHD Webcam DVDRW Windows 7 Pro,204.89,3 GHz core_i7,,2.0,DDR3 SDRAM,usb,False,1999.0,1442966400.0,15.6,1366.0,768.0,8.0,,500000000.0,Hybrid,,10.0,dell,latitude,windows 7,,i7,3.0,1.31,9.86,14.92,intel,,,intel,intel,True,,,5.64
B015ZD71P8,"HP Chromebook 14-ak050nr 14-Inch Laptop (Intel Celeron, 4 GB RAM, 16 GB eMMC)",249.0,1.83 GHz celeron,1.0,1.0,,solid state,False,2014.0,1446940800.0,14.0,1920.0,1080.0,4.0,1830.0,16000000.0,SSD,,8.0,hp,,chrome os,lithium ion,celeron,1.83,0.7,9.45,13.54,intel,,,intel,intel,True,white,1.0,3.74
B0161ZDEEQ,Apple MacBook Air MD760LL/A 13.3-Inch Laptop - 4GB RAM - 128GB SSD - 1.3GHz Core i5 (Renewed),189.0,1.3 GHz core_i5,,2.0,DDR3 SDRAM,,False,2014.0,1443657600.0,13.3,1440.0,900.0,4.0,1600.0,128000000.0,SSD,,12.0,apple,,,lithium polymer,i5,1.3,0.7,8.9,12.8,intel,128.0,,intel,intel,True,silver,1.0,2.18
B0182XAI3K,Dell Latitude E5550 15.6 Inch Full HD FHD 1080p Business Laptop Intel Core 5th Generation i7 i7-5600U 16GB DDR3L 256GB SSD Bluetooth Windows 8.1 Pro,599.95,3.2 GHz core_i7,,2.0,DDR3 SDRAM,solid state,True,1999.0,1447632000.0,15.6,1920.0,1080.0,16.0,3200.0,256000000.0,SSD,,,dell,latitude,windows 8,lithium polymer,i7,3.2,0.9,10.1,14.8,intel,256.0,,intel,intel,True,,,4.71
